Nummer;Elementname;Selektionsansatz;Entschlüsselung
102;Status;1;1 = Bei Musselementen und übrigen keine Widersprüche
201;Datum des Vertrages;01.01.2024:31.12.2025; 
205;Anlass des Eigentumsübergangs;ist belegt;1 = Kauf
303;Objektselbstständigkeit;1;1 = selbständig
4101;Lagemerkmal 1;<>24;10 = Stadtgebiet
4101;Lagemerkmal 1; ;11 = Zentrumslage
4101;Lagemerkmal 1; ;12 = Zentrumsnähe
4101;Lagemerkmal 1; ;13 = Stadtrandlage
4101;Lagemerkmal 1; ;14 = Plattenbauten der 50er und 60er Jahre
4101;Lagemerkmal 1; ;15 = Plattenbauten der 70er und 80er Jahre
4101;Lagemerkmal 1; ;16 = villenartiges Wohngebiet
4101;Lagemerkmal 1; ;17 = Ortsteil mit städtischem Charakter
4101;Lagemerkmal 1; ;20 = Dorfgebiet
4101;Lagemerkmal 1; ;21 = Dorfkern
4101;Lagemerkmal 1; ;22 = Dorfrandlage
4101;Lagemerkmal 1; ;23 = Dorfgebiet in städtischer Randlage
4101;Lagemerkmal 1; ;30 = Eigenheimgebiet
4101;Lagemerkmal 1; ;31 = Eigenheimgebiet früherer Jahre
4101;Lagemerkmal 1; ;32 = Eigenheimgebiet der 90er Jahre
4101;Lagemerkmal 1; ;33 = Eigenheimgebiet ab 2000
4101;Lagemerkmal 1; ;40 = Freizeitgebiet
4101;Lagemerkmal 1; ;41 = Wochenendhausgebiet
4101;Lagemerkmal 1; ;42 = Ferienhausgebiet
4101;Lagemerkmal 1; ;43 = NI-Arbeiterquartiere in Blockrandbebauung
4101;Lagemerkmal 1; ;44 = NI-frühe Wohnsiedlungen (Werkssiedlungen etc.)
4101;Lagemerkmal 1; ;50 = Gewerbegebiet / Industriegebiet
4101;Lagemerkmal 1; ;51 = Altgewerbe / Altindustrie
4101;Lagemerkmal 1; ;52 = neues Gewerbe- / Industriegebiet
4101;Lagemerkmal 1; ;53 = Gewerbe- / Industriebrache
4101;Lagemerkmal 1; ;60 = land- und forst-wirtschaftliche Fläche
4101;Lagemerkmal 1; ;61 = ortsnah
4101;Lagemerkmal 1; ;62 = ortsfern
4101;Lagemerkmal 1; ;63 = ehemaliges Abbauland / Rekultivierung
4101;Lagemerkmal 1; ;64 = NI-Punkthochhäuser, Verbindung mit Zeilenbebauung
4101;Lagemerkmal 1; ;70 = Besonderheiten
4101;Lagemerkmal 1; ;71 = militärische Konversionsfläche
4101;Lagemerkmal 1; ;72 = NI-Einfamilienhausgebiete in exponierter Lage
4101;Lagemerkmal 1; ;73 = NI-Einfamilienhausgebiete mittlerer Lage+Grundstücke
4101;Lagemerkmal 1; ;74 = NI-Einfamilienhausgebiete mit kleinsten Grundstücken
4101;Lagemerkmal 1; ;80 = NI-Siedlungen im ländlichen Bereich
4101;Lagemerkmal 1; ;81 = NI-Dorfrandlage (Flächen in direkter Ortsrandlage)
4101;Lagemerkmal 1; ;82 = NI-Einzellage im Außenbereich
4101;Lagemerkmal 1; ;90 = NI-Land- und forstwirtschaftliche Fläche
4101;Lagemerkmal 1; ;91 = NI-Ortsnähe (bis ca. 500 m Entfernung vom Ortsrand)
501;Gebäudeart;101:107#109#201;101 = Einfamilienhaus
501;Gebäudeart; ;102 = Siedlungshaus (mit Stallanbau )
501;Gebäudeart; ;103 = Villa, Landhaus
501;Gebäudeart; ;104 = Reihenhaus
501;Gebäudeart; ;105 = Haus einer Hausgruppe
501;Gebäudeart; ;106 = Zweifamilienhaus
501;Gebäudeart; ;107 = Mehrfamilienhaus
501;Gebäudeart; ;109 = Bauernhaus,  Resthofstelle
501;Gebäudeart; ;201 = Wohn- und Geschäftshaus
561;Brutto-Grundfläche;>0; 
601;Vertragsart;0;0 = ohne Erbbaurecht
505;koposososs;ist belegt;
 ;Anzahl der Kriterien=;9; 
 ;Anzahl der Kauffälle=;??; 
