Nummer;Kurzbezeichnung;Langbezeichnung;SPT;Stellen
# GRUA-UNSPEZ.-PERIODEN:;;;;
103;KOOR;Koordinate des Objekts;POS;
1031;KOORRW;Koordinate des Objekts-Rechtswert-;POS;7
1032;KOORHW;Koordinate des Objekts-Hochwert-;POS;7
1033;KOBMRW;Basismeridian-Koordinate -Rechtswert-;POS;7
1034;KOBMHW;Basismeridian-Koordinate -Hochwert-;POS;7
#;;;;
111;_EDAT;Datum der Erfassung und der letzten Änderung;DAT;
1111;EDAT;Datum der Erfassung;DAT;10
1112;ADAT;Datum der letzten Änderung;DAT;10
#;;;;
116;GROI;Großinvestitionen;;
1161;PAKE;Großinvestitionen;KINT;1
1162;URKU;Großinvestitionen;STR;16
1163;NOTA;Großinvestitionen;STR;40
1164;PLZ;Großinvestitionen;NSTR;5
1165;BMERK;Großinvestitionen;STR;64
#;;;;
220;UNGE;Ungewöhnliche oder persönliche Verhältnisse;KINT;
2201;UNGEAU;Ungewöhnliche oder persönliche Verhältnisse - Ausprägung;KINT;1
2202;UNGEUS;Ungewöhnliche oder persönliche Verhältnisse - Ursache;KINT;1
#;;;;
222;WVGL;Weiterer Vergleichsmaßstäbe;DEZ;
2221;WVGL1;Weiterer Vergleichsmaßstäbe;DEZ;5.2
2222;WVGL2;Weiterer Vergleichsmaßstäbe;DEZ;5.2
2223;WVGL3;Weiterer Vergleichsmaßstäbe;DEZ;5.2
#;;;;
224;BOWE;Bodenwertanteil;NINT;9
2242;BWRENT;Rentierlicher Bodenwertanteil;NINT;9
2243;BWSONS;Sonstiger Bodenwertanteil;NINT;9
#;;;;
226;WMIN;Wertminderung;KINT;
2261;WMINAU;Wertminderung -Ausprägung;KINT;1
2262;WMINHO;Wertminderung -Höhe;KINT;3
#;;;;
227;WVER;Wertverbesserung;KINT;
2271;WVERAU;Wertverbesserung -Ausprägung;KINT;1
2272;WVERHO;Wertverbesserung -Höhe;NINT;3
#;;;;
#-------------?deprecated?----------------------
24221;TEILFL1;Teilflächen -Fläche-;;
24222;TEILFL2;Teilflächen -Fläche-;;
24223;TEILFL3;Teilflächen -Fläche-;;
24224;TEILFL4;Teilflächen -Fläche-;;
24225;TEILFL5;Teilflächen -Fläche-;;
24226;TEILFL6;Teilflächen -Fläche-;;
24227;TEILFL7;Teilflächen -Fläche-;;
24228;TEILFL8;Teilflächen -Fläche-;;
#;;;;
24231;TEILAG1;Teilflächen -Acker-/Grünlandzahl-;;
24232;TEILAG2;Teilflächen -Acker-/Grünlandzahl-;;
24233;TEILAG3;Teilflächen -Acker-/Grünlandzahl-;;
24234;TEILAG4;Teilflächen -Acker-/Grünlandzahl-;;
24235;TEILAG5;Teilflächen -Acker-/Grünlandzahl-;;
24236;TEILAG6;Teilflächen -Acker-/Grünlandzahl-;;
24237;TEILAG7;Teilflächen -Acker-/Grünlandzahl-;;
24238;TEILAG8;Teilflächen -Acker-/Grünlandzahl-;;
#;;;;
24241;TEILBW1;Teilflächen -Bodenwert-;;
24242;TEILBW2;Teilflächen -Bodenwert-;;
24243;TEILBW3;Teilflächen -Bodenwert-;;
24244;TEILBW4;Teilflächen -Bodenwert-;;
24245;TEILBW5;Teilflächen -Bodenwert-;;
24246;TEILBW6;Teilflächen -Bodenwert-;;
24247;TEILBW7;Teilflächen -Bodenwert-;;
24248;TEILBW8;Teilflächen -Bodenwert-;;
#;;;;
24271;TEILRW1;Teilflächen -Rechtswert-;;
24272;TEILRW2;Teilflächen -Rechtswert-;;
24273;TEILRW3;Teilflächen -Rechtswert-;;
24274;TEILRW4;Teilflächen -Rechtswert-;;
24275;TEILRW5;Teilflächen -Rechtswert-;;
24276;TEILRW6;Teilflächen -Rechtswert-;;
24277;TEILRW7;Teilflächen -Rechtswert-;;
24278;TEILRW8;Teilflächen -Rechtswert-;;
#;;;;
24281;TEILHW1;Teilflächen -Hochwert-;;
24282;TEILHW2;Teilflächen -Hochwert-;;
24283;TEILHW3;Teilflächen -Hochwert-;;
24284;TEILHW4;Teilflächen -Hochwert-;;
